PAIS,ANO,DEWEY PRINCIPAL,ESTADO_TRADUCCION,TIPO_AGENTE,EDITORIAL,CANTIDAD
Argentina,2012,000 - Generalidades,NO TRADUCIDO,AMBAS,ARTE GRAFICO EDITORIAL ARGENTINO,22
Argentina,2012,000 - Generalidades,NO TRADUCIDO,AMBAS,ATLANTIDA,49
Argentina,2012,000 - Generalidades,NO TRADUCIDO,AMBAS,CENTRO TECNOLOGICO DE ENTRENAMIENTO Y CAPACITACION - CTEC,95
Argentina,2012,000 - Generalidades,NO TRADUCIDO,AMBAS,EDITORIAL SUDAMERICANA,74
Argentina,2012,000 - Generalidades,NO TRADUCIDO,AMBAS,FOX ANDINA S.A.,46
Argentina,2012,000 - Generalidades,NO TRADUCIDO,AUTOR-EDITOR,LA MUSICA Y LA CULTURA DEL HOMBRE AMERICANO,1
Argentina,2012,000 - Generalidades,NO TRADUCIDO,AUTOR-EDITOR,LIBROS DEL NAUFRAGO,2
Argentina,2012,000 - Generalidades,NO TRADUCIDO,AUTOR-EDITOR,MALLEA,2
Argentina,2012,000 - Generalidades,NO TRADUCIDO,EDITORIAL COMERCIAL,ARTE GRAFICO EDITORIAL ARGENTINO,22
Argentina,2012,000 - Generalidades,NO TRADUCIDO,EDITORIAL COMERCIAL,ATLANTIDA,49
Argentina,2012,000 - Generalidades,NO TRADUCIDO,EDITORIAL COMERCIAL,EDITORIAL SUDAMERICANA,74
Argentina,2012,000 - Generalidades,NO TRADUCIDO,EDITORIAL COMERCIAL,ESENCIA,17
Argentina,2012,000 - Generalidades,NO TRADUCIDO,EDITORIAL COMERCIAL,FOX ANDINA S.A.,46
Argentina,2012,000 - Generalidades,NO TRADUCIDO,EDITORIAL UNIVERSITARIA,CENTRO DE ESTUDIANTES DE INGENIERIA TECNOLOGICA - C.E.I.T.,3
Argentina,2012,000 - Generalidades,NO TRADUCIDO,EDITORIAL UNIVERSITARIA,CENTRO TECNOLOGICO DE ENTRENAMIENTO Y CAPACITACION - CTEC,95
Argentina,2012,000 - Generalidades,NO TRADUCIDO,EDITORIAL UNIVERSITARIA,EDICIONES UNL,7
Argentina,2012,000 - Generalidades,NO TRADUCIDO,EDITORIAL UNIVERSITARIA,UNIVERSIDAD ABIERTA INTERAMERICANA,7
Argentina,2012,000 - Generalidades,NO TRADUCIDO,EDITORIAL UNIVERSITARIA,UNIVERSIDAD NACIONAL DE LA PLATA,10
Argentina,2012,000 - Generalidades,NO TRADUCIDO,ENTIDAD PRIVADA NO EDITORIAL,CAMARA ARGENTINA DEL LIBRO,2
Argentina,2012,000 - Generalidades,NO TRADUCIDO,ENTIDAD PRIVADA NO EDITORIAL,CVOSOFT,2
Argentina,2012,000 - Generalidades,NO TRADUCIDO,ENTIDAD PRIVADA NO EDITORIAL,EL RELAMPAGO,2
Argentina,2012,000 - Generalidades,NO TRADUCIDO,ENTIDAD PRIVADA NO EDITORIAL,GRUPO MDP,3
