ANO,DEWEY PRINCIPAL,TIPO_AGENTE,REGION,IDIOMA DE ORIGEN,CANTIDAD,TOP_DESTINOS,TOP_EDITORIALES,TOP_DEWEYS
2010,000 - Generalidades,AMBAS,RESTO DE LATAM,ALEMÁN,1,ESPAÑOL::1,PANAMERICANA LIBRERIA Y PAPELERIA::1,GENERALIDADES::1
2010,000 - Generalidades,AMBAS,RESTO DE LATAM,AYMARA,1,ESPAÑOL::1,GRUPO EDITORIAL KIPUS::1,GENERALIDADES::1
2010,000 - Generalidades,AMBAS,RESTO DE LATAM,ESPAÑOL,31,MULTILINGÜE::13~~INGLÉS::10~~PORTUGUÉS::3~~CHINO::2~~LENGUA NO DETERMINADA::2,"CONTINENTE EDITORES S.A.::7~~UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO::5~~ACEVEDO MARIN, VERONICA::4~~ALEX MARVEL COMPANY S.A.::2~~EDICIONES CAIC::2",GENERALIDADES::15~~En inglés::4~~Crónicas y temas especiales::3~~En otras lenguas::3~~Conocimientos controversiales::1
2010,000 - Generalidades,AMBAS,RESTO DE LATAM,FRANCÉS,13,ESPAÑOL::13,EDICIONES LAROUSSE::7~~AM EDITORES::1~~GRUPO EDITORIAL PATRIA::1~~GRUPO PLANETA::1~~PENGUIN RANDOM HOUSE::1,Obras enciclopédicas generales::7~~Crónicas y temas especiales::2~~Conocimientos controversiales::1~~GENERALIDADES::1~~Investigación::1
2010,000 - Generalidades,AMBAS,RESTO DE LATAM,INGLÉS,99,ESPAÑOL::98~~INGLÉS::1,PEARSON::34~~EDITORIAL AMEREIDA S.A.::17~~PANAMERICANA LIBRERIA Y PAPELERIA::9~~GRUPO PLANETA::7~~CENGAGE LEARNING::6,Obras enciclopédicas generales::19~~GENERALIDADES::18~~Programación. programas. datos de computadores::17~~Teoría de la comunicación y el control  Cibernética::17~~Medios documentales. medios educativos. medios noticiosos::7
2010,000 - Generalidades,AMBAS,RESTO DE LATAM,ITALIANO,7,ESPAÑOL::7,SOCIEDAD DE SAN PABLO::6~~PENGUIN RANDOM HOUSE::1,Lectura y uso de otros medios de información para gente joven::3~~Reseñas::2~~GENERALIDADES::1~~Intereses generales en lectura::1
2010,000 - Generalidades,AMBAS,RESTO DE LATAM,LATÍN,2,ESPAÑOL::2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO::2,Bibliotecas universitarias::2
2010,000 - Generalidades,AMBAS,RESTO DE LATAM,LENGUA NO DETERMINADA,3,MULTILINGÜE::3,EDICIONES GAMMA S.A.::1~~TRAGALUZ EDITORES S.A.S.::1~~UNIVERSIDAD DE GUADALAJARA::1,Crónicas y temas especiales::1~~Investigación::1~~Medios de difusión::1
2010,000 - Generalidades,AMBAS,RESTO DE LATAM,PORTUGUÉS,6,ESPAÑOL::6,BETH SHALOM::4~~EDITORIAL NUEVA PALABRA::1~~SOCIEDAD DE SAN PABLO::1,GENERALIDADES::5~~Crónicas y temas especiales::1
2010,000 - Generalidades,AMBAS,RESTO DE LATAM,QUECHUA,2,ESPAÑOL::2,GRUPO EDITORIAL KIPUS::2,GENERALIDADES::2
2010,000 - Generalidades,AUTOR-EDITOR,RESTO DE LATAM,ESPAÑOL,3,INGLÉS::2~~MULTILINGÜE::1,"BARRIENTOS BOZA, RODOLFO::1~~GUZMAN CIFUENTES, MARIA JAVIERA::1~~PLAZAS PERALTA, REINALDO ANTONIO::1",De obras de lugares específicos::1~~GENERALIDADES::1~~Investigación::1
2010,000 - Generalidades,AUTOR-EDITOR,RESTO DE LATAM,GUARANÍ,1,ESPAÑOL::1,"CAMPOS BACARREZA, MIRIAM ROSARIO::1",GENERALIDADES::1
2010,000 - Generalidades,AUTOR-EDITOR,RESTO DE LATAM,INGLÉS,2,ESPAÑOL::2,"JARAMILLO MEJIA, FELIPE::1~~POMPA GARCIA, MARIN::1",Crónicas y temas especiales::1~~Investigación::1
2010,000 - Generalidades,AUTOR-EDITOR,RESTO DE LATAM,LENGUA NO DETERMINADA,2,ESPAÑOL::1~~MULTILINGÜE::1,"CORDOVA VALDIVIA, ADOLFO::1~~LOBATO, RENATA::1",Crónicas y temas especiales::1~~GENERALIDADES::1
2010,000 - Generalidades,EDITORIAL COMERCIAL,RESTO DE LATAM,ALEMÁN,1,ESPAÑOL::1,PANAMERICANA LIBRERIA Y PAPELERIA::1,GENERALIDADES::1
2010,000 - Generalidades,EDITORIAL COMERCIAL,RESTO DE LATAM,AYMARA,1,ESPAÑOL::1,GRUPO EDITORIAL KIPUS::1,GENERALIDADES::1
2010,000 - Generalidades,EDITORIAL COMERCIAL,RESTO DE LATAM,ESPAÑOL,23,MULTILINGÜE::10~~INGLÉS::7~~LENGUA NO DETERMINADA::2~~PORTUGUÉS::2~~CHINO::1,"CONTINENTE EDITORES S.A.::7~~ACEVEDO MARIN, VERONICA::4~~ALEX MARVEL COMPANY S.A.::2~~EDICIONES CAIC::2~~DBUK EDITORS::1",GENERALIDADES::9~~En inglés::4~~Crónicas y temas especiales::3~~En otras lenguas::3~~Conocimientos controversiales::1
2010,000 - Generalidades,EDITORIAL COMERCIAL,RESTO DE LATAM,FRANCÉS,12,ESPAÑOL::12,EDICIONES LAROUSSE::7~~AM EDITORES::1~~GRUPO EDITORIAL PATRIA::1~~GRUPO PLANETA::1~~PENGUIN RANDOM HOUSE::1,Obras enciclopédicas generales::7~~Crónicas y temas especiales::2~~Conocimientos controversiales::1~~GENERALIDADES::1~~Medios documentales. medios educativos. medios noticiosos::1
2010,000 - Generalidades,EDITORIAL COMERCIAL,RESTO DE LATAM,INGLÉS,98,ESPAÑOL::97~~INGLÉS::1,PEARSON::34~~EDITORIAL AMEREIDA S.A.::17~~PANAMERICANA LIBRERIA Y PAPELERIA::9~~GRUPO PLANETA::7~~CENGAGE LEARNING::6,Obras enciclopédicas generales::19~~GENERALIDADES::18~~Programación. programas. datos de computadores::17~~Teoría de la comunicación y el control  Cibernética::17~~Medios documentales. medios educativos. medios noticiosos::7
2010,000 - Generalidades,EDITORIAL COMERCIAL,RESTO DE LATAM,ITALIANO,7,ESPAÑOL::7,SOCIEDAD DE SAN PABLO::6~~PENGUIN RANDOM HOUSE::1,Lectura y uso de otros medios de información para gente joven::3~~Reseñas::2~~GENERALIDADES::1~~Intereses generales en lectura::1
2010,000 - Generalidades,EDITORIAL COMERCIAL,RESTO DE LATAM,LENGUA NO DETERMINADA,2,MULTILINGÜE::2,EDICIONES GAMMA S.A.::1~~TRAGALUZ EDITORES S.A.S.::1,Crónicas y temas especiales::1~~Investigación::1
2010,000 - Generalidades,EDITORIAL COMERCIAL,RESTO DE LATAM,NEERLANDÉS,1,ESPAÑOL::1,FONDO DE CULTURA ECONOMICA MEXICO::1,Colecciones generales::1
