PAIS,ANO,DEWEY PRINCIPAL,TIPO_AGENTE,DECILE_LABEL,DECILE_ORDER,PROMEDIO_REGISTROS,DESVIACION_ESTANDAR,CANTIDAD_EDITORIALES,IDIOMA_ORIGEN,CANTIDAD_OBRAS_IDIOMA
Argentina,2012,000 - Generalidades,AMBAS,Top 10%,1,2.0,0.0,1,LENGUA NO DETERMINADA,2
Argentina,2012,000 - Generalidades,AMBAS,10% - 20%,2,1.0,0.0,1,LENGUA NO DETERMINADA,1
Argentina,2012,000 - Generalidades,AMBAS,20% - 30%,3,1.0,0.0,1,LENGUA NO DETERMINADA,1
Argentina,2012,000 - Generalidades,AMBAS,30% - 40%,4,1.0,0.0,1,LENGUA NO DETERMINADA,1
Argentina,2012,000 - Generalidades,AMBAS,40% - 50%,5,1.0,0.0,1,LENGUA NO DETERMINADA,1
Argentina,2012,000 - Generalidades,EDITORIAL COMERCIAL,Top 10%,1,2.0,0.0,1,LENGUA NO DETERMINADA,2
Argentina,2012,000 - Generalidades,EDITORIAL COMERCIAL,10% - 20%,2,1.0,0.0,1,LENGUA NO DETERMINADA,1
Argentina,2012,000 - Generalidades,EDITORIAL COMERCIAL,20% - 30%,3,1.0,0.0,1,LENGUA NO DETERMINADA,1
Argentina,2012,000 - Generalidades,EDITORIAL COMERCIAL,30% - 40%,4,1.0,0.0,1,LENGUA NO DETERMINADA,1
Argentina,2012,000 - Generalidades,EDITORIAL UNIVERSITARIA,Top 10%,1,1.0,0.0,1,LENGUA NO DETERMINADA,1
Argentina,2012,000 - Generalidades,TODOS,Top 10%,1,2.0,0.0,1,LENGUA NO DETERMINADA,2
Argentina,2012,000 - Generalidades,TODOS,10% - 20%,2,1.0,0.0,1,LENGUA NO DETERMINADA,1
Argentina,2012,000 - Generalidades,TODOS,20% - 30%,3,1.0,0.0,1,LENGUA NO DETERMINADA,1
Argentina,2012,000 - Generalidades,TODOS,30% - 40%,4,1.0,0.0,1,LENGUA NO DETERMINADA,1
Argentina,2012,000 - Generalidades,TODOS,40% - 50%,5,1.0,0.0,1,LENGUA NO DETERMINADA,1
Argentina,2012,100 - Filosofía y psicología,AMBAS,Top 10%,1,14.67,6.81,3,LENGUA NO DETERMINADA,44
Argentina,2012,100 - Filosofía y psicología,AMBAS,10% - 20%,2,4.67,2.08,3,LENGUA NO DETERMINADA,14
Argentina,2012,100 - Filosofía y psicología,AMBAS,20% - 30%,3,3.0,0.0,3,LENGUA NO DETERMINADA,9
