PAIS,ANO,DEWEY PRINCIPAL,TIPO_AGENTE,IDIOMA DE ORIGEN,IDIOMA PUBLICACION,EDITORIAL,CANTIDAD
Argentina,2012,000 - Generalidades,AMBAS,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ESENCIA,2
Argentina,2012,000 - Generalidades,AMBAS,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL SUDAMERICANA,1
Argentina,2012,000 - Generalidades,AMBAS,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRANICA,1
Argentina,2012,000 - Generalidades,AMBAS,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,1
Argentina,2012,000 - Generalidades,AMBAS,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO,1
Argentina,2012,000 - Generalidades,EDITORIAL COMERCIAL,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ESENCIA,2
Argentina,2012,000 - Generalidades,EDITORIAL COMERCIAL,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL SUDAMERICANA,1
Argentina,2012,000 - Generalidades,EDITORIAL COMERCIAL,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRANICA,1
Argentina,2012,000 - Generalidades,EDITORIAL COMERCIAL,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,1
Argentina,2012,000 - Generalidades,EDITORIAL UNIVERSITARIA,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO,1
Argentina,2012,000 - Generalidades,TODOS,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,ESENCIA,2
Argentina,2012,000 - Generalidades,TODOS,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL SUDAMERICANA,1
Argentina,2012,000 - Generalidades,TODOS,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRANICA,1
Argentina,2012,000 - Generalidades,TODOS,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,1
Argentina,2012,000 - Generalidades,TODOS,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO,1
Argentina,2012,100 - Filosofía y psicología,AMBAS,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL SUDAMERICANA,20
Argentina,2012,100 - Filosofía y psicología,AMBAS,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,17
Argentina,2012,100 - Filosofía y psicología,AMBAS,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,FONDO DE CULTURA ECONOMICA MEXICO,7
Argentina,2012,100 - Filosofía y psicología,AMBAS,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SIGLO XXI EDITORES,7
Argentina,2012,100 - Filosofía y psicología,AMBAS,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CACTUS,4
Argentina,2012,100 - Filosofía y psicología,AUTOR-EDITOR,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDGARDO CARAMELLA Y ASOC,1
Argentina,2012,100 - Filosofía y psicología,EDITORIAL COMERCIAL,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,EDITORIAL SUDAMERICANA,20
Argentina,2012,100 - Filosofía y psicología,EDITORIAL COMERCIAL,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPO PAIDOS,17
Argentina,2012,100 - Filosofía y psicología,EDITORIAL COMERCIAL,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,FONDO DE CULTURA ECONOMICA MEXICO,7
Argentina,2012,100 - Filosofía y psicología,EDITORIAL COMERCIAL,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SIGLO XXI EDITORES,7
Argentina,2012,100 - Filosofía y psicología,EDITORIAL COMERCIAL,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,CACTUS,4
Argentina,2012,100 - Filosofía y psicología,EDITORIAL UNIVERSITARIA,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,UNIVERSIDAD PEDAGOGICA DE BUENOS AIRES,1
Argentina,2012,100 - Filosofía y psicología,ENTIDAD PRIVADA NO EDITORIAL,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,GRUPAL,4
Argentina,2012,100 - Filosofía y psicología,ENTIDAD PRIVADA NO EDITORIAL,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SIRIO,2
Argentina,2012,100 - Filosofía y psicología,ENTIDAD PRIVADA NO EDITORIAL,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,SPRAYETTE,2
Argentina,2012,100 - Filosofía y psicología,ENTIDAD PRIVADA NO EDITORIAL,LENGUA NO DETERMINADA,LENGUA NO DETERMINADA,FERSIC,1
